product_id,name,price,categories,brand
ADV15165_UD,3 Kg. Advance Adulto Salmón Y Arroz Pienso Para Gatos Salmon & Rice,26.99,"Gato, Alimento Seco, F, C - digital",Affinity Advance
ADV15189_UD,1.5 Kg. Advance Kitten Pollo Y Arroz Pienso Para Gatitos Chicken & Rice,14.99,"A, Gato, Alimento Seco, C - digital",Affinity Advance
ADV15194_UD,3 Kg. Advance Adulto Pollo Y Arroz Pienso Para Gatos Adultos Chicken & Rice,21.99,"Gato, Alimento Seco, B - digital, AA",Affinity Advance
ADV15200_UD,1.5 Kg. Advance Adulto Salmón Y Arroz Pienso Para Gatos Salmon & Rice,16.99,"C, Gato, Alimento Seco, C - digital",Affinity Advance
ADV15210_UD,"1,5 Kg. Advance Hairball Con Pavo Y Arroz Pienso. Turkey & Rice Esterilized Bolas De Pelo",14.99,"Gato, Alimento Seco, F, C - digital",Affinity Advance
ADV16047_UD,3 Kg. Advance Hairball Esterilizado Pienso.  Esterilized Bolas De Pelo,26.99,"Gato, Alimento Seco, B - digital, AA",Affinity Advance
ADV16227_UD,3 kg Advance Gato Esterilizado Pavo,22.99,"Gato, Alimento Seco, AAA, B - digital",Advance
ADV16788_UD,"1,5 Kg. Advance Gatos Esterilizados Salmón Y Cebada Pienso. Neutered Cats Salmon",13.99,"Gato, Alimento Seco, B - digital, B",Affinity Advance
ADV16790_UD,3 Kg. Advance Gatos Esterilizados Salmón Y Cebada Pienso. Neutered Cats Salmon,24.99,"Gato, Alimento Seco, AA, C - digital",Affinity Advance
ADV16923_UD,3 Kg. Advance Puppy Protect Initial Pienso Para Cachorros,23.99,"Perro, C, Alimento Seco, C - digital",Affinity Advance
ADV17048_UD,"1,5 Kg. Advance Yorkshire Terrier Adulto Pienso Para Perros Adultos De Raza Yorkshire",14.29,"Perro, A, Alimento Seco, C - digital",Affinity Advance
ADV17157_UD,12 Kg Advance Pastor Aleman Adulto Pienso Para Perros Adultos De Raza Pastor Aleman,57.29,"Perro, A - digital, Alimento Seco, B",Affinity Advance
ADV17158_UD,12 Kg Advance Labrador Adulto Pienso Para Perros De Raza Labrador,57.99,"Perro, Alimento Seco, C - digital, Z",Affinity Advance
ADV17262_UD,14 Kg Advance Maxi Adult Razas Grandes Pienso Para Perros Adultos Large Breed,57.99,"Perro, A, Alimento Seco, B - digital",Affinity Advance
ADV17268_UD,14 Kg Advance Adulto Razas Medianas Pienso Para Perros Medium Breed,57.99,"Perro, A - digital, Alimento Seco, AA",Affinity Advance
ADV17287_CM,Advance Dental Care Stick Medium Pack Higiene Dental Para Perros 180 Grs 13 Unidades.,37.95,"Perro, C, Snack Dental, B - digital",Affinity Advance
ADV17291_CM,Advance Hypoallergenic Snack Premios Para Perros Alergicos Pack 7 Sobres 150grs.,20.95,"Perro, Snack Premio, A - digital, AA",Affinity Advance
ADV17353_UD,12 Kg Advance Adulto Con Cordero Y Arroz Pienso Para Perros Adult Lamb & Rice,57.99,"Perro, Alimento Seco, B - digital, AA",Affinity Advance
ADV17354_UD,12 Kg Advance Light Razas Medianas Pienso Para Perros Medium Breed,55.99,"Perro, Alimento Seco, AA, AA - digital",Affinity Advance
ADV17355_UD,12 Kg Advance Adulto Sensitive Con Salmón Y Arroz Pienso Para Perros Con Sensibilidad,59.99,"Perro, A - digital, Alimento Seco, AAA",Affinity Advance
ADV17356_UD,12 Kg Advance Adult +7 Años Razas Medianas Pienso Para Perros Mayores Senior Medium Breed,60.99,"Perro, Alimento Seco, AAA, C - digital",Affinity Advance
ADV17391_UD,1.5 Kg. Advance Senior Sterilised +10 Pienso Para Gatos Mayores,14.99,"Gato, Alimento Seco, B - digital, B",Affinity Advance
ADV17450_UD,1.5 Kg. Advance Young Sterilised Pienso Para Gatos Jovenes Esterilizados,14.99,"Gato, Alimento Seco, AA, C - digital",Affinity Advance
ADV20039_CM,Advance Appetite Control Snack  Para Perros. Con Efecto Saciante Pack 7 Sobres 150grs.,20.95,"Perro, Snack Premio, C - digital, B",Affinity Advance
ADV20039_UD,Advance Appetite Control Snack  Para Perros. Con Efecto Saciante Pack 7 Sobres 150grs.,20.95,"Perro, Snack Premio, C - digital, B",Affinity Advance
ADV20040_CM,Advance Puppy Snack premios para cachorros,20.95,"Perro, A, Snack Premio, A - digital",Affinity Advance
ADV20157_CM,Advance Articular Snack premios condroprotectores para perro,41.5,"Perro, A, Snack Premio, A - digital",Affinity Advance
ADV21515_UD,3 Kg. Advance Mini Adulto Sensitive Con Salmón Y Arroz Pienso Para Perros Adultos Small Breed,21.19,"Perro, Alimento Seco, B - digital, AA",Affinity Advance
ADV21516_UD,"7,5 Kg Advance Mini Adulto Sensitive Con Salmón Y Arroz Pienso Para Perros Adultos Small Breed",37.99,"Perro, A - digital, Alimento Seco, Z",Affinity Advance
ADV21720_UD,Advance Dental Care Stick Medium Caja 720g Higiene Dental Para Perros 28 Unidades,10.99,"Perro, A, Snack Dental, B - digital",Affinity Advance
ADV21864_UD,"1,5 Kg. Advance Hairball Esterilizado Pienso.  Esterilized Bolas De Pelo",16.99,"Gato, Alimento Seco, B - digital, B",Affinity Advance
ADV21865_UD,10 Kg Advance Hairball Esterilizado Pienso.  Esterilized Bolas De Pelo,49.99,"Gato, Alimento Seco, AA, AA - digital",Affinity Advance
ADV21866_UD,10 Kg Advance Gatos Esterilizados Salmón Y Cebada Pienso. Neutered Cats Salmon,49.99,"Gato, Alimento Seco, AA, C - digital",Affinity Advance
ADV22045_UD,Advance Articularforte Complemento Especial Perros Cuidado Articulaciones 200gr Perro Pequeño,30.95,"Perro, B - digital, Dieta Seca, B",Advance Veterinary Diets
